"Modelo";"Sistema Operacional";"Disponibilidade";"Dimensões";"Peso";"MELHOR PREÇO";"Faixa de Preço";"Custo-benefício";"Hardware";"- Tela";"- Câmera";"- Desempenho";"Gsm";"Dual Sim";"Sim Card";"Chipset";"Processador";"64 Bit";"GPU";"RAM";"Memória Max";"Memória Expansível";"Polegadas";"Resolução";"Densidade de pixels";"Tipo";"Touchscreen";"Multitouch";"Cores";"Megapixel";"Resolução";"Estabilização";"Autofoco";"Foco por toque";"Flash";"HDR";"Localização";"Câmera Frontal";"Resolução da gravação";"FPS da gravação";"Stereo Sound Rec";"Wi-Fi";"Bluetooth";"USB";"NFC";"GPS";"GPRS";"EDGE";"UMTS";"HSDPA";"HSUPA";"HSPA+";"LTE";"Velocidade máxima de download";"Velocidade máxima de upload";"Acelerômetro";"Proximidade";"Player de música";"Player de vídeo";"Radio FM";"Tv";"Saída de TV";"Browser";"Flash Player";"Vibração";"Viva Voz";"Toques";"Toques personalizados";"Outros";"Tipo";"Autonomia conversação";"Autonomia em standby";"Ampere";"SAR EU";"Vídeo HDR";"Resistência a água";"Barômetro";"Dual Rec";"Detecção facial";"Auto focagem de vídeo";"Slow Motion";"Vídeo Câmera Frontal";"Giroscópio";"Bússola";"Impressão digital";"Mic. de Redução de Ruído";"Estabilização de vídeo";"Proteção";"Aperture Size";"Foto em Vídeo";"Opções da Câmera Frontal";"Preço FastShop";"Detecção de sorriso";"Gesto";"IRDA";"Tamanho do Sensor";"Preço Casas Bahia";"Zoom Ótico";"SAR US";"Preço Extra";"Preço Submarino";"Preço Magazine Luiza";"Preço Kabum";"Preço Walmart";"Dual Shot";"Preço Pontofrio";"Preço Americanas";"Segundo Display";"Preço Carrefour";"Code";"Display Curvo";"Teclado Qwerty";"Java";"Preço Apple";"Antena";"Câmera";"ROM";"Email";"MMS";"3D";"Foto 3D";"Vídeo 3D"
"Alcatel Pop 4";"Android 6.0 Marshmallow";"2016/2";"140.7 x 71.4 x 8 mm";"134 gramas";"R$ 321   (ver todos)";"R$ 321 - R$ 878";"10 / 10";"6.3 / 10";"5.5 / 10";"7 / 10";"4.2 / 10";"ok Quad Band (850/900/1800/1900)";"ok";"Micro";"Qualcomm Snapdragon 210 MSM8909 Cortex-A7";"1.1 GHz Quad Core";"X";"Adreno 304";"1.5 GB";"8 GB";"ok Micro SD Até 32 GB";"5";"4160 x 3120 pixel";"294 ppi";"IPS LCD";"ok Capacitiva";"ok";"16 milhões";"13 Mp";"";"ok Digital";"X";"ok";"ok LED";"ok";"ok";"ok 8 Mp";"ok Full HD";"30 fps";"X";"ok 802.11b/g/n";"ok 4.0 com A2DP";"ok Micro USB 2.0";"X";"ok A-GPS";"ok";"ok";"ok";"ok";"ok";"ok";"ok";"150 Mbps";"50 Mbps";"ok";"ok";"ok";"ok MP4/H.263/H.264/MPEG-4";"ok Stereo";"X";"X";"ok Html/HTML5";"X";"ok";"ok";"ok Polifônicos";"ok";"SNS integrationWi-Fi hotspot";"Litio";"540 minutos";"528 horas";"2500 Mah";"Head 0.9 W/kg Body 0.83 W/kg";"";"";"";""
"Lenovo Vibe K6";"Android 6.0 Marshmallow";"2016/3";"141.9 x 70.5 x 8.2 mm";"145 gramas";"R$ 644   (ver todos)";"R$ 644 - R$ 1.099";"9.8 / 10";"7.8 / 10";"8.3 / 10";"7.3 / 10";"6.6 / 10";"ok Quad Band (850/900/1800/1900)";"ok";"Micro";"Qualcomm Snapdragon 430 MSM8937";"Quad-core 1.4 GHz Cortex-A53 + Quad-core 1.1 GHz Cortex-A53";"ok";"Adreno 505";"2 GB";"32 GB";"ok Micro SD Slot híbrido SIM/MicroSD atè 128 GB";"5";"4160 x 3120 pixel";"441 ppi";"IPS LCD";"ok Capacitiva";"ok";"16 milhões";"13 Mp";"";"ok Digital";"ok";"ok";"ok LED";"ok";"ok";"ok 8 Mp";"ok Full HD";"30 fps";"";"ok 802.11b/g/n";"ok 4.1 com A2DP/LE";"ok Micro USB 2.0";"X";"ok A-GPS/GLONASS";"ok";"ok";"ok";"ok";"ok";"ok";"ok";"150 Mbps";"50 Mbps";"ok";"ok";"ok";"ok H.263/H.264/3GP/3G2";"ok";"X";"X";"ok Html/HTML5";"X";"ok";"ok";"ok Polifônicos";"ok";"Wi-Fi hotspot";"Litio";"";"";"3000 Mah";"";"";"";"";"";"ok";"ok";"ok";"720p HD, 30fps";"ok";"ok";"ok";"ok"
"Lenovo Vibe K5";"Android 5.1 Lollipop";"2016/2";"142 x 71 x 8.2 mm";"150 gramas";"R$ 597   (ver todos)";"R$ 597 - R$ 1.444";"9.7 / 10";"7.7 / 10";"8.3 / 10";"7.1 / 10";"6.8 / 10";"ok Quad Band (850/900/1800/1900)";"ok";"Micro";"Qualcomm Snapdragon 616 MSM8939v2";"Quad-core 1.5 GHz Cortex-A53 + Quad-core 1.2 GHz Cortex-A53";"ok";"Adreno 405";"2 GB";"16 GB";"ok Micro SD Até 32 GB";"5";"4160 x 3120 pixel";"441 ppi";"IPS LCD";"ok Capacitiva";"ok";"16 milhões";"13 Mp";"";"ok Digital";"ok";"ok";"ok Dual LED";"ok";"ok";"ok 5 Mp";"ok Full HD";"30 fps";"";"ok 802.11b/g/n";"ok 4.1 com A2DP/LE";"ok Micro USB 2.0";"X";"ok A-GPS/GLONASS";"ok";"ok";"ok";"ok";"ok";"ok";"ok";"150 Mbps";"50 Mbps";"ok";"ok";"ok";"ok MP4/H.264/WMV";"ok";"X";"X";"ok Html/HTML5";"X";"ok";"ok";"ok Polifônicos";"ok";"Wi-Fi hotspot";"Litio";"900 minutos";"322 horas";"2750 Mah";"";"";"";"";"";"ok";"ok";"";"";"ok";"";"";"ok";"ok"
"Motorola Moto G5S";"Android 7.1.1 Nougat";"2017/3";"149.95 x 73.5 x 8.24 mm";"156.5 gramas";"R$ 764   (ver todos)";"R$ 764 - R$ 5.999";"9.4 / 10";"8.1 / 10";"8.3 / 10";"8 / 10";"6.6 / 10";"ok Quad Band (850/900/1800/1900)";"ok Optional Single SIM";"Nano";"Qualcomm Snapdragon 430 MSM8937";"Quad-core 1.4 GHz Cortex-A53 + Quad-core 1.1 GHz Cortex-A53";"ok";"Adreno 505";"2 GB";"32 GB";"ok Micro SD Até 128 GB";"5.2";"4608 x 3456 pixel";"424 ppi";"IPS LCD";"ok Capacitiva";"ok";"16 milhões";"16 Mp";"";"ok Digital";"ok";"ok";"ok LED";"ok";"ok";"ok 5 Mp";"ok Full HD";"30 fps";"";"ok 802.11 a/b/g/n";"ok 4.2 com A2DP/LE";"ok Micro USB 2.0";"X";"ok A-GPS/GLONASS/BeiDou";"ok";"ok";"ok";"ok";"ok";"ok";"ok";"150 Mbps";"50 Mbps";"ok";"ok";"ok";"ok MP4/H.263/H.264/WMV";"";"X";"X";"ok Html/HTML5";"X";"ok";"ok";"ok Polifônicos";"ok";"SNS integrationWi-Fi DirectWi-Fi hotspot";"Litio";"";"";"3000 Mah";"";"";"";"";"";"ok";"ok";"ok";"Full HD, 30fps";"ok";"X";"ok";"ok";"ok";"ok Gorilla Glass 3";"F 2";"ok";"HDR"
"Motorola Moto G5";"Android 7.0 Nougat";"2017/2";"144.3 x 73 x 9.5 mm";"144.5 gramas";"R$ 799   (ver todos)";"R$ 799 - R$ 1.189";"9.2 / 10";"8 / 10";"8.3 / 10";"7.5 / 10";"6.6 / 10";"ok Quad Band (850/900/1800/1900)";"ok";"Nano";"Qualcomm Snapdragon 430 MSM8937";"Quad-core 1.4 GHz Cortex-A53 + Quad-core 1.1 GHz Cortex-A53";"ok";"Adreno 505";"2 GB";"32 GB";"ok Micro SD Slot híbrido SIM/MicroSD atè 128 GB";"5";"4160 x 3120 pixel";"441 ppi";"IPS LCD";"ok Capacitiva";"ok";"16 milhões";"13 Mp";"";"ok Digital";"ok";"ok";"ok Dual LED";"ok";"ok";"ok 5 Mp";"ok Full HD";"30 fps";"";"ok 802.11 a/b/g/n";"ok 4.2 com A2DP/LE";"ok Micro USB 2.0";"X";"ok A-GPS/GLONASS/BeiDou";"ok";"ok";"ok";"ok";"ok";"ok";"ok";"150 Mbps";"50 Mbps";"ok";"ok";"ok";"ok MP4/H.263/H.264/WMV";"ok";"X";"X";"ok Html/HTML5";"X";"ok";"ok";"ok Polifônicos";"ok";"SNS integrationWi-Fi DirectWi-Fi hotspot";"Litio";"";"";"2800 Mah";"";"";"";"";"";"ok";"ok";"ok";"Full HD, 30fps";"ok";"X";"ok";"ok";"ok";"";"F 2";"ok";"HDR"
"Motorola Moto G5 Plus";"Android 7.0 Nougat";"2017/2";"150.2 x 74 x 7.7 mm";"155 gramas";"R$ 879   (ver todos)";"R$ 879 - R$ 1.682";"9.2 / 10";"8.4 / 10";"8.3 / 10";"8 / 10";"7.8 / 10";"ok Quad Band (850/900/1800/1900)";"ok";"Nano";"Qualcomm Snapdragon 625 MSM8953 Cortex-A53";"2 GHz 8 Core";"ok";"Adreno 506";"2 GB";"32 GB";"ok Micro SD Até 128 GB";"5.2";"4032 x 3024 pixel";"424 ppi";"IPS LCD";"ok Capacitiva";"ok";"16 milhões";"12 Mp";"";"ok Digital";"ok";"ok";"ok Dual LED";"ok";"ok";"ok 5 Mp";"ok 4K (2160p)";"30 fps";"";"ok 802.11 a/b/g/n";"ok 4.2 com A2DP/LE";"ok Micro USB 2.0";"ok";"ok A-GPS/GLONASS";"ok";"ok";"ok";"ok";"ok";"ok";"ok";"300 Mbps";"50 Mbps";"ok";"ok";"ok";"ok MP4/H.263/H.264/WMV";"ok";"HDTV";"X";"ok Html/HTML5";"X";"ok";"ok";"ok Polifônicos";"ok";"SNS integrationWi-Fi DirectWi-Fi hotspot";"Litio";"";"";"3000 Mah";"";"";"";"";"";"ok";"ok";"ok";"Full HD, 30fps";"ok";"X";"ok";"ok";"ok";"ok Gorilla Glass 3";"F 1.7";"ok";""
"Asus Zenfone 3 Max (tela 5.5) 2GB RAM";"Android 6.0.1 ASUS ZenUI 3.0 Marshmallow";"2016/3";"151.4 x 76.24 x 8.3 mm";"175 gramas";"R$ 854   (ver todos)";"R$ 854 - R$ 899";"9.2 / 10";"7.9 / 10";"8.1 / 10";"7.9 / 10";"6.6 / 10";"ok Quad Band (850/900/1800/1900)";"ok";"Nano-Micro";"Qualcomm Snapdragon 430 MSM8937";"Quad-core 1.4 GHz Cortex-A53 + Quad-core 1.1 GHz Cortex-A53";"ok";"Adreno 505";"2 GB";"32 GB";"ok Micro SD Até 128 GB";"5.5";"4608 x 3456 pixel";"401 ppi";"IPS LCD";"ok Capacitiva";"ok";"16 milhões";"16 Mp";"";"ok Digital";"ok";"ok";"ok Dual LED";"ok";"ok";"ok 8 Mp";"ok Full HD";"30 fps";"X";"ok 802.11b/g/n";"ok 4.1 com A2DP/EDR";"ok Micro USB 2.0";"X";"ok A-GPS/GLONASS/BeiDou";"ok";"ok";"ok";"ok";"ok";"ok";"ok";"150 Mbps";"50 Mbps";"ok";"ok";"ok";"ok MP4/H.263/H.264/WMV";"ok";"X";"X";"ok Html/HTML5";"X";"ok";"ok";"ok Polifônicos";"ok";"Wi-Fi DirectWi-Fi hotspot";"Litio";"1020 minutos";"912 horas";"4100 Mah";"";"";"";"";"";"ok";"ok";"";"720p HD, 30fps";"ok";"ok";"ok";"";"X";"ok Gorilla Glass";"F 2";"ok";"HDR"
"Asus Zenfone 3 Max (tela 5.5)";"Android 6.0.1 ASUS ZenUI 3.0 Marshmallow";"2016/3";"151.4 x 76.24 x 8.3 mm";"175 gramas";"R$ 703   (ver todos)";"R$ 703 - R$ 1.139";"9.1 / 10";"7.9 / 10";"8.1 / 10";"7.9 / 10";"6.7 / 10";"ok Quad Band (850/900/1800/1900)";"ok";"Nano-Micro";"Qualcomm Snapdragon 430 MSM8937";"Quad-core 1.4 GHz Cortex-A53 + Quad-core 1.1 GHz Cortex-A53";"ok";"Adreno 505";"3 GB";"32 GB";"ok Micro SD Até 128 GB";"5.5";"4608 x 3456 pixel";"401 ppi";"IPS LCD";"ok Capacitiva";"ok";"16 milhões";"16 Mp";"";"ok Digital";"ok";"ok";"ok Dual LED";"ok";"ok";"ok 8 Mp";"ok Full HD";"30 fps";"X";"ok 802.11b/g/n";"ok 4.1 com A2DP/EDR";"ok Micro USB 2.0";"X";"ok A-GPS/GLONASS/BeiDou";"ok";"ok";"ok";"ok";"ok";"ok";"ok";"150 Mbps";"50 Mbps";"ok";"ok";"ok";"ok MP4/H.263/H.264/WMV";"ok";"X";"X";"ok Html/HTML5";"X";"ok";"ok";"ok Polifônicos";"ok";"Wi-Fi DirectWi-Fi hotspot";"Litio";"1020 minutos";"912 horas";"4100 Mah";"";"";"";"";"";"ok";"ok";"";"720p HD, 30fps";"ok";"ok";"ok";"";"X";"ok Gorilla Glass";"F 2";"ok";"HDR";"R$ 763"
"Asus ZenFone 3";"Android 6.0.1 ASUS ZenUI 3.0 Marshmallow";"2016/3";"146.87 x 73.98 x 7.69 mm";"144 gramas";"R$ 967   (ver todos)";"R$ 967 - R$ 1.699";"8.8 / 10";"8.4 / 10";"8.3 / 10";"8.7 / 10";"7.8 / 10";"ok Quad Band (850/900/1800/1900)";"ok";"Nano-Micro";"Qualcomm Snapdragon 625 MSM8953 Cortex-A53";"2 GHz 8 Core";"ok";"Adreno 506";"2 GB";"16 GB";"ok Micro SD Slot híbrido SIM/MicroSD atè 2 TB";"5.2";"4608 x 3456 pixel";"424 ppi";"IPS LCD";"ok Capacitiva";"ok";"16 milhões";"16 Mp";"";"ok Ótica";"ok";"ok";"ok Dual LED";"ok";"ok";"ok 8 Mp";"ok 4K (2160p)";"30 fps";"";"ok 802.11 a/b/g/n/ac";"ok 4.2 com A2DP";"ok Type-C 2.0";"X";"ok A-GPS/GLONASS";"ok";"ok";"ok";"ok";"ok";"ok";"ok";"150 Mbps";"50 Mbps";"ok";"ok";"ok";"ok MP4/H.263/H.264/WMV";"ok";"X";"X";"ok Html/HTML5";"X";"ok";"ok";"ok Polifônicos";"ok";"Wi-Fi DirectWi-Fi hotspot";"Litio";"";"";"2650 Mah";"Head 0.75 W/kg Body 1.06 W/kg";"";"";"";"";"ok";"ok";"ok";"Full HD, 30fps";"ok";"ok";"ok";"";"ok";"ok Gorilla Glass 3";"F 2";"";"";"";"ok";"ok"
"Xiaomi Redmi 4a";"Android 6.0.1 MIUI v8 Marshmallow";"2016/4";"139.5 x 70.4 x 8.5 mm";"131 gramas";"R$ 535   (ver todos)";"R$ 535 - R$ 849";"8.7 / 10";"7 / 10";"5.5 / 10";"7.5 / 10";"6.1 / 10";"ok Quad Band (850/900/1800/1900)";"ok";"Micro-Nano";"Qualcomm Snapdragon 425 MSM8917 Cortex-A53";"1.4 GHz Quad Core";"ok";"Adreno 308";"2 GB";"16 GB";"ok Micro SD Até 256 GB";"5";"4160 x 3120 pixel";"294 ppi";"IPS LCD";"ok Capacitiva";"ok";"16 milhões";"13 Mp";"";"ok Digital";"ok";"ok";"ok LED";"ok";"ok";"ok 5 Mp";"ok Full HD";"30 fps";"X";"ok 802.11b/g/n";"ok 4.1 com A2DP/LE";"ok Micro USB 2.0";"X";"ok A-GPS/GLONASS/BeiDou";"ok";"ok";"ok";"ok";"ok";"ok";"ok";"150 Mbps";"50 Mbps";"ok";"ok";"ok";"ok MP4/H.263/H.264/WMV";"";"X";"X";"ok Html/HTML5";"X";"ok";"ok";"ok Polifônicos";"ok";"SNS integrationWi-Fi DirectWi-Fi hotspot";"LiPo";"";"";"3120 Mah";"";"";"";"";"";"ok";"ok";"";"Full HD, 30fps";"ok";"ok";"";"ok";"X";"";"F 2.2";"";"";"";"ok";"";"ok"
