"""Modelo""";Sistema Operacional;Disponibilidade;Dimensões;Peso; MELHOR PREÇO ;Faixa de Preço; pre�o min ; pre�o max ;Custo-benefício;Hardware;#NOME?;- Câmera;#NOME?;Gsm;Dual Sim;Sim Card;Chipset;Processador;64 Bit;GPU;RAM;Memória Max;Memória Expansível;Polegadas;Resolução;Densidade de pixels;Tipo;Touchscreen;Multitouch;Cores;Megapixel;Resolução;Estabilização;Autofoco;Foco por toque;Flash;HDR;Localização;Câmera Frontal;Resolução da gravação;FPS da gravação;Stereo Sound Rec;Wi-Fi;Bluetooth;USB;NFC;GPS;GPRS;EDGE;UMTS;HSDPA;HSUPA;HSPA+;LTE;Velocidade máxima de download;Velocidade máxima de upload;Acelerômetro;Proximidade;Player de música;Player de vídeo;Radio FM;Tv;Saída de TV;Browser;Flash Player;Vibração;Viva Voz;Toques;Toques personalizados;Outros;Tipo;Aperture Size;Detecção facial;Detecção de sorriso;Auto focagem de vídeo;Estabilização de vídeo;Vídeo Câmera Frontal;IRDA;Mic. de Redução de Ruído;Ampere;SAR US;Giroscópio;Bússola;Impressão digital;Resistência a água;Proteção;Slow Motion;Foto em Vídeo;Opções da Câmera Frontal;Zoom Ótico;Vídeo HDR;Autonomia conversação;Autonomia em standby;Tamanho do Sensor;Barômetro;Dual Rec;SAR EU;Dual Shot;Gesto;Preço Extra;Segundo Display;Teclado Qwerty;MMS;Email;Câmera;Preço Magazine Luiza;Preço Kabum;Preço Carrefour;Code;Altímetro;Preço Casas Bahia;Preço Submarino;Preço FastShop;Preço Americanas;Preço Walmart;Preço Colombo;Preço Pontofrio;Personalizzazione;Display Curvo;Preço Apple;Antena;Blink Detection;ROM;Temperatura;Umidade;Foto 3D;Java;Vídeo 3D;3D;HSCSD;UMA;Satelital
Xiaomi Redmi 5A;Android 7.1.2 MIUI v9 Nougat;2017/4;140.4 x 70.1 x 8.4 mm;137 gramas; R$-   ;; R$-   ; R$-   ;;0 / 10;0 / 10;0 / 10;0 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;Qualcomm Snapdragon 425 MSM8917 Cortex-A53;1.4 GHz Quad Core;ok;Adreno 308;2 GB;16 GB;ok Micro SD Até 256 GB;5;4160 x 3120 pixel;294 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;13 Mp;;ok Digital;ok;ok;ok LED;ok;ok;ok 5 Mp;ok Full HD;30 fps;X;ok 802.11b/g/n;ok 4.1 com A2DP/LE;ok Micro USB 2.0;X;ok A-GPS/GLONASS/BeiDou;ok;ok;ok;ok;ok;ok;ok;150 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV;ok;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspot;LiPo;F 2.2;ok;ok;ok;X;Full HD, 30fps;ok;ok;3000 Mah;Head 1.07 W/kg Body 0.91 W/kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Honor V10;Android 8.0 EMUI 8.0 Oreo;2017/4;157 x 75 x 6.97 mm;172 gramas; R$-   ;; R$-   ; R$-   ;;8.9 / 10;8.2 / 10;8.5 / 10;8.9 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;Huawei Hisilicon Kirin 970;4x2.4 GHz Cortex-A73 + 4x1.8 GHz Cortex-A53;ok;Mali-G72 MP12;6 GB;128 GB;ok Micro SD Slot híbrido SIM/MicroSD atè 256 GB;5.99;4608 x 3456 pixel;403 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;16 Mp;;ok Digital;ok;ok;ok Dual LED;ok;ok;ok 13 Mp;ok 4K (2160p);30 fps;;ok 802.11 a/b/g/n/ac;ok 4.2 com LE/EDR/A2DP;ok Type-C 2.0;ok;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;ok;-;-;ok;ok;ok;ok MP4/H.263/H.264;X;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspot;LiPo;F 1.8;ok;;ok;ok;Full HD, 30fps;ok;ok;3750 Mah;;ok;ok;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OnePlus 5T;Android 7.1.1 OxygenOS Nougat;2017/4;156.1 x 75 x 7.3 mm;162 gramas; R$-   ;; R$-   ; R$-   ;;09/out;8.2 / 10;8.5 / 10;9.6 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;Qualcomm MSM8998 Snapdragon 835;4x 2.45 GHz Kryo + 4x 1.9 GHz Kryo;ok;Adreno 540;8 GB;128 GB;X;6.01;4638 x 3436 pixel;401 ppi;AMOLED;ok Capacitiva;ok;16 milhões;16 Mp;;ok Digital;ok;ok;ok Dual LED;ok;ok;ok 16 Mp;ok 4K (2160p);30 fps;ok;ok 802.11 a/b/g/n/ac;ok 5.0 com A2DP/LE/aptX;ok Type-C 2.0;ok;ok A-GPS/GLONASS/BeiDou/Galileo;ok;ok;ok;ok;ok;ok;ok;600 Mbps;150 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX/Xvid;X;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspotDLNA;Litio;F 1.7;ok;;ok;ok;Full HD, 30fps;;ok;3300 Mah;;ok;ok;ok;ok;ok Gorilla Glass 5;ok 120 fps;ok;HDR/Modo Selfie/Selfie Panoramic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Razer Phone;Android 7.1.1 Nougat;2017/4;158.5 x 77.7 x 8 mm;197 gramas; R$-   ;; R$-   ; R$-   ;;8.9 / 10;8.9 / 10;08/out;9.5 / 10;ok Quad Band (850/900/1800/1900);X;Nano;Qualcomm MSM8998 Snapdragon 835;4x 2.35 GHz Kryo + 4x 1.9 GHz Kryo;ok;Adreno 540;8 GB;64 GB;ok Micro SD Até 2 TB;5.7;4032 x 3024 pixel;515 ppi;IGZO IPS;ok Capacitiva;ok;16 milhões;12 Mp;;ok Digital;ok;ok;ok Dual LED;ok;ok;ok 8 Mp;ok 4K (2160p);30 fps;ok;ok 802.11 a/b/g/n/ac;ok 4.2 com A2DP;ok Type-C 2.0;ok;ok A-GPS;ok;ok;ok;ok;ok;ok;ok;-;-;ok;ok;ok;ok MP4/H.263/H.264/MKV;;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspotUSB OTG;Litio;F 1.8;ok;;ok;ok;Full HD, 30fps;;ok;4000 Mah;;ok;ok;ok;;ok Gorilla Glass 3;ok;ok;Face Detection;ok;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Panasonic Eluga Ray 700;Android 7.0 Nougat;2017/3;153.8 x 75.4 x 8.9 mm;182 gramas; R$-   ;; R$-   ; R$-   ;;7.3 / 10;8.1 / 10;7.5 / 10;4.3 / 10;ok Quad Band (850/900/1800/1900);ok Dual Sim Dual Standby;Nano;MediaTek MT6753;1.3 GHz 8 Core;ok;ARM Mali-T720 MP3;3 GB;32 GB;ok Micro SD Até 128 GB;5.5;4128 x 3096 pixel;401 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;13 Mp;;ok Digital;ok;ok;ok LED;ok;ok;ok 13 Mp;ok Full HD;30 fps;ok;ok 802.11b/g/n;ok 4.0 com A2DP;ok Micro USB 2.0;X;ok A-GPS;ok;ok;;ok;;ok;ok;150 Mbps;50 Mbps;ok;ok;ok;ok H.264/MPEG-4;ok;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspot;Litio;F 2;ok;ok;ok;X;Full HD, 30fps;;ok;5000 Mah;;X;ok;ok;;ok Gorilla Glass 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HTC U11 Plus;Android 8.0 HTC Sense UI Oreo;2017/4;158.5 x 74.9 x 8.5 mm;188 gramas; R$-   ;; R$-   ; R$-   ;;9.2 / 10;9.1 / 10;8.4 / 10;9.4 / 10;ok Quad Band (850/900/1800/1900);X;Nano;Qualcomm MSM8998 Snapdragon 835;4x 2.45 GHz Kryo + 4x 1.9 GHz Kryo;ok;Adreno 540;6 GB;128 GB;ok Micro SD Até 2 TB;6;4038 x 3036 pixel;538 ppi;Super LCD6;ok Capacitiva;ok;16 milhões;12 Mp;;ok Ótica;ok;ok;ok Dual LED;ok;ok;ok 8 Mp;ok 4K (2160p);30 fps;ok;ok 802.11 a/b/g/n/ac;ok 5.0 com A2DP/LE;ok Type-C 3.1;ok;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;ok;800 Mbps;150 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX/Xvid;X;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspotDLNA;Litio;F 1.7;ok;;ok;ok;Full HD, 30fps;;ok;3930 Mah;;ok;ok;ok;ok;ok Gorilla Glass 5;ok 120 fps;ok;HDR/Modo Selfie/Selfie Panoramic;;;1500 minutos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HTC U11 Life;Android One 8.0 Sense Oreo;2017/4;149.09 x 72.9 x 8.1 mm;142 gramas; R$-   ;; R$-   ; R$-   ;;7.6 / 10;8.3 / 10;8.4 / 10;08/out;ok Quad Band (850/900/1800/1900);X;Nano;Qualcomm Snapdragon 630;4x 2.2 GHz Cortex-A53 + 4x 1.8 GHz Cortex A53;ok;Adreno 508;4 GB;64 GB;ok Micro SD Até 2 TB;5.2;4608 x 3456 pixel;424 ppi;Super LCD;ok Capacitiva;ok;16 milhões;16 Mp;;ok Digital;ok;ok;ok LED;ok;ok;ok 16 Mp;ok 4K (2160p);30 fps;ok;ok 802.11 a/b/g/n/ac;ok 5.0 com A2DP/LE;ok Type-C 2.0;ok;ok A-GPS;ok;ok;ok;ok;ok;ok;ok;600 Mbps;75 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX/Xvid;X;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspotDLNA;Litio;F 2;ok;;ok;ok;Full HD, 30fps;;ok;2600 Mah;;ok;ok;ok;ok;ok Gorilla Glass;ok;ok;HDR/Modo Selfie/Selfie Panoramic;;;408 minutos;670 horas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xiaomi Redmi Y1;Android 7.0 MIUI v9 Nougat;2017/4;153 x 76.2 x 7.7 mm;153 gramas; R$-   ;; R$-   ; R$-   ;;7.2 / 10;5.2 / 10;7.5 / 10;6.8 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;Qualcomm MSM8940 Snapdragon 435;4x 1.4 GHz Cortex-A53 + 4x 1.1 Cortex-A53;ok;Adreno 505;4 GB;64 GB;ok Micro SD Atè 256 GB;5.5;4160 x 3120 pixel;236 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;13 Mp;;ok Digital;ok;ok;ok LED;ok;ok;ok 16 Mp;ok Full HD;30 fps;;ok 802.11b/g/n;ok 4.2 com A2DP/LE;ok Micro USB 2.0;X;ok A-GPS/GLONASS/BeiDou;ok;ok;ok;ok;ok;ok;ok;-;-;ok;ok;ok;ok MP4/H.263/H.264/WMV;ok;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspot;Litio;F 2.2;ok;ok;ok;ok;Full HD, 30fps;ok;ok;3080 Mah;;ok;ok;ok;;;;;;;;768 minutos;240 horas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oppo R11s;Android 7.1.1 ColorOS 3.2 Nougat;2017/4;155.1 x 75.5 x 7.1 mm;153 gramas; R$-   ;; R$-   ; R$-   ;;8.5 / 10;8.1 / 10;8.5 / 10;08/out;ok Quad Band (850/900/1800/1900);ok;Nano;Qualcomm Snapdragon 660 MSM8956 Plus;4x 2.2GHz Kryo + 4x 1.8GHZ Kryo;ok;Adreno 512;4 GB;64 GB;ok Micro SD Slot híbrido SIM/MicroSD atè 256 GB;6.01;4608 x 3456 pixel;401 ppi;AMOLED;ok Capacitiva;ok;16 milhões;16 Mp;;ok Digital;ok;ok;ok Dual LED;ok;ok;ok 20 Mp;ok 4K (2160p);30 fps;;ok 802.11 a/b/g/n/ac;ok 4.2 com LE/EDR/A2DP;ok Micro USB 2.0;X;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;ok;600 Mbps;100 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV;;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspotUSB OTG;LiPo;F 1.7;ok;;ok;ok;Full HD, 30fps;;ok;3205 Mah;;ok;ok;ok;;ok Gorilla Glass 5;;;Face Detection;ok;;;;1/2.8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oppo R11s Plus;Android 7.1.1 ColorOS 3.2 Nougat;2017/4;164.8 x 80.2 x 7.3 mm;182 gramas; R$-   ;; R$-   ; R$-   ;;8.5 / 10;7.7 / 10;8.5 / 10;8.2 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;Qualcomm Snapdragon 660 MSM8956 Plus;4x 2.2GHz Kryo + 4x 1.8GHZ Kryo;ok;Adreno 512;6 GB;64 GB;ok Micro SD Slot híbrido SIM/MicroSD atè 256 GB;6.43;4608 x 3456 pixel;376 ppi;AMOLED;ok Capacitiva;ok;16 milhões;16 Mp;;ok Digital;ok;ok;ok Dual LED;ok;ok;ok 20 Mp;ok 4K (2160p);30 fps;;ok 802.11 a/b/g/n/ac;ok 4.2 com LE/EDR/A2DP;ok Micro USB 2.0;X;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;ok;600 Mbps;100 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV;;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspotUSB OTG;LiPo;F 1.7;ok;;ok;ok;Full HD, 30fps;;ok;4000 Mah;;ok;ok;ok;;ok Gorilla Glass 5;;;Face Detection;ok;;;;1/2.8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
